id,name,category,phone,lat,lng,google_maps_link,reason_for_removal,kept_original_id
biz_atlas_1789797312919_uca36,274 z pyramids gardens,نشاط تجاري وخدمي,01000000000,29.9806123,31.0919237,"https://www.google.com/maps?q=29.9806123,31.0919237",عنوان سكني / كود عمارة أضيف بالخطأ,N/A (تم حذفه بالكامل)
biz_atlas_1789797285865_xvm4o,123 ز حدائق الاهرام,صالونات ومراكز تجميل وعناية,+20 10 34078537,29.9801095,31.0982274,"https://www.google.com/maps?q=29.9801095,31.0982274",عنوان سكني / كود عمارة أضيف بالخطأ,N/A (تم حذفه بالكامل)
biz_atlas_1789777499862_ze1iv,رادار ثابت السرعة (80),نشاط تجاري وخدمي,01000000000,29.9803348,31.1175458,"https://www.google.com/maps?q=29.9803348,31.1175458",رادار سرعة على الطريق السريع (كيان مروري غير تجاري),N/A (تم حذفه بالكامل)
biz_atlas_1789777495553_i9ym3,Panoramic Point of the Pyramids,نشاط تجاري وخدمي,01000000000,29.9682171,31.1232925,"https://www.google.com/maps?q=29.9682171,31.1232925",نقطة إطلالة صحراوية للأهرامات (معلم جغرافي غير تجاري),N/A (تم حذفه بالكامل)
biz_atlas_1789777495441_1opkc,Panoramic View of the Pyramids,نشاط تجاري وخدمي,01000000000,29.9723287,31.1206597,"https://www.google.com/maps?q=29.9723287,31.1206597",نقطة إطلالة صحراوية للأهرامات (معلم جغرافي غير تجاري),N/A (تم حذفه بالكامل)
biz_atlas_1789777467208_5c00e,رادار ثابت السرعة (80),نشاط تجاري وخدمي,01000000000,29.9803348,31.1175458,"https://www.google.com/maps?q=29.9803348,31.1175458",رادار سرعة على الطريق السريع (كيان مروري غير تجاري),N/A (تم حذفه بالكامل)
biz_atlas_1789777461118_m12jy,Panoramic Point of the Pyramids,نشاط تجاري وخدمي,01000000000,29.9682171,31.1232925,"https://www.google.com/maps?q=29.9682171,31.1232925",نقطة إطلالة صحراوية للأهرامات (معلم جغرافي غير تجاري),N/A (تم حذفه بالكامل)
biz_atlas_1789777461021_naduj,Panoramic view,نشاط تجاري وخدمي,01000000000,29.9695817,31.1256528,"https://www.google.com/maps?q=29.9695817,31.1256528",نقطة إطلالة صحراوية للأهرامات (معلم جغرافي غير تجاري),N/A (تم حذفه بالكامل)
biz_atlas_1789777460921_rh3la,Panoramic View of the Pyramids,نشاط تجاري وخدمي,01000000000,29.9723287,31.1206597,"https://www.google.com/maps?q=29.9723287,31.1206597",نقطة إطلالة صحراوية للأهرامات (معلم جغرافي غير تجاري),N/A (تم حذفه بالكامل)
biz_atlas_1789777424359_e2s4i,Panoramic View of the Pyramids,نشاط تجاري وخدمي,01000000000,29.9723287,31.1206597,"https://www.google.com/maps?q=29.9723287,31.1206597",نقطة إطلالة صحراوية للأهرامات (معلم جغرافي غير تجاري),N/A (تم حذفه بالكامل)
biz_atlas_1789777231456_0gja4,رادار ثابت السرعة (80),نشاط تجاري وخدمي,01000000000,29.9803348,31.1175458,"https://www.google.com/maps?q=29.9803348,31.1175458",رادار سرعة على الطريق السريع (كيان مروري غير تجاري),N/A (تم حذفه بالكامل)
biz_atlas_1789777199621_1v7d5,رادار ثابت السرعة (80),نشاط تجاري وخدمي,01000000000,29.9803348,31.1175458,"https://www.google.com/maps?q=29.9803348,31.1175458",رادار سرعة على الطريق السريع (كيان مروري غير تجاري),N/A (تم حذفه بالكامل)
biz_atlas_1789777153232_ovp0k,رادار ثابت السرعة (80),نشاط تجاري وخدمي,01000000000,29.9803348,31.1175458,"https://www.google.com/maps?q=29.9803348,31.1175458",رادار سرعة على الطريق السريع (كيان مروري غير تجاري),N/A (تم حذفه بالكامل)
biz_atlas_1789777114395_owq3c,رادار ثابت السرعة (80),نشاط تجاري وخدمي,01000000000,29.9803348,31.1175458,"https://www.google.com/maps?q=29.9803348,31.1175458",رادار سرعة على الطريق السريع (كيان مروري غير تجاري),N/A (تم حذفه بالكامل)
biz_atlas_1789777073228_6kvzy,رادار ثابت السرعة (80),نشاط تجاري وخدمي,01000000000,29.9803348,31.1175458,"https://www.google.com/maps?q=29.9803348,31.1175458",رادار سرعة على الطريق السريع (كيان مروري غير تجاري),N/A (تم حذفه بالكامل)
biz_atlas_1789777025585_mxgff,رادار ثابت السرعة (80),نشاط تجاري وخدمي,01000000000,29.9803348,31.1175458,"https://www.google.com/maps?q=29.9803348,31.1175458",رادار سرعة على الطريق السريع (كيان مروري غير تجاري),N/A (تم حذفه بالكامل)
biz_gplaces_1789206257259_2xag8,قاعود جيم,جيم وصالة لياقة بدنية (Fitness),010 05402467,29.9779389,31.0967474,"https://www.google.com/maps?q=29.9779389,31.0967474",نسخة مكررة (نفس Google Place ID) - تم الإبقاء على الأصلية [biz_atlas_1789797303037_5utev],biz_atlas_1789797303037_5utev
biz_gplaces_1789206245589_qzwrb,"Barber Center'''""Ahmed Ali ^^ Coiffeur",صالون حلاقة رجالي وعناية,012 25515186,29.9777791,31.0967227,"https://www.google.com/maps?q=29.9777791,31.0967227",نسخة مكررة (نفس Google Place ID) - تم الإبقاء على الأصلية [biz_atlas_1789797282838_hr17m],biz_atlas_1789797282838_hr17m
biz_gplaces_1789531460667_o3d2s,Beto3 fool - بتوع فول,مطعم / مأكولات ومشويات,010 95059109,29.9852146,31.096434,"https://www.google.com/maps?q=29.9852146,31.096434",نسخة مكررة (نفس Google Place ID) - تم الإبقاء على الأصلية [biz_atlas_1789797213550_x598s],biz_atlas_1789797213550_x598s
biz_gplaces_1789206197960_qdrfw,وصايه كافيه,كافيه / مقهى وكوفي شوب,012 24158314,29.9848473,31.0966077,"https://www.google.com/maps?q=29.9848473,31.0966077",نسخة مكررة (نفس Google Place ID) - تم الإبقاء على الأصلية [biz_atlas_1789797210080_jycb1],biz_atlas_1789797210080_jycb1
biz_gplaces_1789531690244_3r2lp,شفطة قهوة,كافيه / مقهى وكوفي شوب,010 92759717,29.9746146,31.1010109,"https://www.google.com/maps?q=29.9746146,31.1010109",نسخة مكررة (نفس Google Place ID) - تم الإبقاء على الأصلية [biz_atlas_1789792770953_f4vyd],biz_atlas_1789792770953_f4vyd
biz_gplaces_1789531690104_cmnyd,قهوة توماس النوبه,كافيه / مقهى وكوفي شوب,011 52929107,29.9711086,31.1001492,"https://www.google.com/maps?q=29.9711086,31.1001492",نسخة مكررة (نفس Google Place ID) - تم الإبقاء على الأصلية [biz_atlas_1789792768512_4izia],biz_atlas_1789792768512_4izia
biz_atlas_1789774832725_bokf2,اكاديمية الحزام الاسود للكاراتيه حدائق الاهرام,أندية وجيم وصالات رياضية,010 04422339,29.9815432,31.1030926,"https://www.google.com/maps?q=29.9815432,31.1030926",نسخة مكررة (نفس Google Place ID) - تم الإبقاء على الأصلية [biz_atlas_1789792347376_ay6yi],biz_atlas_1789792347376_ay6yi
biz_atlas_1789774833003_wk3k7,Empire gym,أندية وجيم وصالات رياضية,011 10396494,29.9838384,31.1044873,"https://www.google.com/maps?q=29.9838384,31.1044873",نسخة مكررة (نفس Google Place ID) - تم الإبقاء على الأصلية [biz_atlas_1789792346835_wn154],biz_atlas_1789792346835_wn154
biz_atlas_1789774833099_gtx5u,Rock Gym,أندية وجيم وصالات رياضية,011 23088885,29.9716053,31.1060357,"https://www.google.com/maps?q=29.9716053,31.1060357",نسخة مكررة (نفس Google Place ID) - تم الإبقاء على الأصلية [biz_atlas_1789792344922_uzlh4],biz_atlas_1789792344922_uzlh4
biz_gplaces_1789206257583_zl8ta,Rock Gym,جيم وصالة لياقة بدنية (Fitness),011 23088885,29.9716053,31.1060357,"https://www.google.com/maps?q=29.9716053,31.1060357",نسخة مكررة (نفس Google Place ID) - تم الإبقاء على الأصلية [biz_atlas_1789792344922_uzlh4],biz_atlas_1789792344922_uzlh4
biz_gplaces_1789531486213_wuq6y,Kalypso Cafe,كافيه / مقهى وكوفي شوب,011 47710910,29.9814106,31.1037292,"https://www.google.com/maps?q=29.9814106,31.1037292",نسخة مكررة (نفس Google Place ID) - تم الإبقاء على الأصلية [biz_atlas_1789792277608_dsfro],biz_atlas_1789792277608_dsfro
biz_gplaces_1789531459417_qxdnf,الكبابجى ابو عبدو,مطعم / مأكولات ومشويات,010 17124423,29.9712183,31.1047908,"https://www.google.com/maps?q=29.9712183,31.1047908",نسخة مكررة (نفس Google Place ID) - تم الإبقاء على الأصلية [biz_atlas_1789792256367_hnet5],biz_atlas_1789792256367_hnet5
biz_gplaces_1789206245873_zavxv,H&R salon,صالون حلاقة رجالي وعناية,011 22475065,29.9842435,31.1081151,"https://www.google.com/maps?q=29.9842435,31.1081151",نسخة مكررة (نفس Google Place ID) - تم الإبقاء على الأصلية [biz_atlas_1789792112638_7tfzd],biz_atlas_1789792112638_7tfzd
biz_gplaces_1789531521458_l1rql,Secret Garden Rest & Cafe,كافيه / مقهى وكوفي شوب,010 14418444,29.9809467,31.106003,"https://www.google.com/maps?q=29.9809467,31.106003",نسخة مكررة (نفس Google Place ID) - تم الإبقاء على الأصلية [biz_atlas_1789792047175_rsqk7],biz_atlas_1789792047175_rsqk7
biz_gplaces_1789532270430_18a7n,Lotus Cafe & Restaurant,مطعم / مأكولات ومشويات,011 00170479,29.9743218,31.1073427,"https://www.google.com/maps?q=29.9743218,31.1073427",نسخة مكررة (نفس Google Place ID) - تم الإبقاء على الأصلية [biz_atlas_1789792034994_eek0f],biz_atlas_1789792034994_eek0f
biz_gplaces_1789531731142_s2cc6,Candy roll,مخبز / حلواني ومعجنات,012 06790070,29.9746603,31.106912,"https://www.google.com/maps?q=29.9746603,31.106912",نسخة مكررة (نفس Google Place ID) - تم الإبقاء على الأصلية [biz_atlas_1789792032466_bdexu],biz_atlas_1789792032466_bdexu
biz_gplaces_1789532270107_jw1gx,Dans Le Noir ? Cairo - Giza,مطعم / مأكولات ومشويات,011 13497190,29.9780535,31.1065159,"https://www.google.com/maps?q=29.9780535,31.1065159",نسخة مكررة (نفس Google Place ID) - تم الإبقاء على الأصلية [biz_atlas_1789792031854_kai3j],biz_atlas_1789792031854_kai3j
biz_atlas_1789777200825_g5kwd,Hossam Ibrahim Barber,صالونات ومراكز تجميل وعناية,012 08428876,29.9859685,31.1134445,"https://www.google.com/maps?q=29.9859685,31.1134445",نسخة مكررة (نفس Google Place ID) - تم الإبقاء على الأصلية [biz_atlas_1789784902849_j1l6h],biz_atlas_1789784902849_j1l6h
biz_atlas_1789775937479_oimq1,PYRUS,نشاط تجاري وخدمي,012 04998555,29.9783278,31.1242698,"https://www.google.com/maps?q=29.9783278,31.1242698",نسخة مكررة (نفس Google Place ID) - تم الإبقاء على الأصلية [biz_atlas_1789777500792_9k5x4],biz_atlas_1789777500792_9k5x4
biz_atlas_1789777155524_4sdhz,Breadfast,مطاعم ومأكولات ومخابز,01000000000,29.9782968,31.1236778,"https://www.google.com/maps?q=29.9782968,31.1236778",نسخة مكررة (نفس Google Place ID) - تم الإبقاء على الأصلية [biz_atlas_1789777500570_sm6x0],biz_atlas_1789777500570_sm6x0
biz_atlas_1789777116249_vlkpr,Breadfast,مطاعم ومأكولات ومخابز,01000000000,29.9782968,31.1236778,"https://www.google.com/maps?q=29.9782968,31.1236778",نسخة مكررة (نفس Google Place ID) - تم الإبقاء على الأصلية [biz_atlas_1789777500570_sm6x0],biz_atlas_1789777500570_sm6x0
biz_atlas_1789777075026_melu7,Breadfast,مطاعم ومأكولات ومخابز,01000000000,29.9782968,31.1236778,"https://www.google.com/maps?q=29.9782968,31.1236778",نسخة مكررة (نفس Google Place ID) - تم الإبقاء على الأصلية [biz_atlas_1789777500570_sm6x0],biz_atlas_1789777500570_sm6x0
biz_atlas_1789777028049_tpx9e,Breadfast,مطاعم ومأكولات ومخابز,01000000000,29.9782968,31.1236778,"https://www.google.com/maps?q=29.9782968,31.1236778",نسخة مكررة (نفس Google Place ID) - تم الإبقاء على الأصلية [biz_atlas_1789777500570_sm6x0],biz_atlas_1789777500570_sm6x0
biz_atlas_1789775967967_awnr0,Breadfast,مطاعم ومأكولات ومخابز,01000000000,29.9782968,31.1236778,"https://www.google.com/maps?q=29.9782968,31.1236778",نسخة مكررة (نفس Google Place ID) - تم الإبقاء على الأصلية [biz_atlas_1789777500570_sm6x0],biz_atlas_1789777500570_sm6x0
biz_atlas_1789775937596_pukl4,Breadfast,مطاعم ومأكولات ومخابز,01000000000,29.9782968,31.1236778,"https://www.google.com/maps?q=29.9782968,31.1236778",نسخة مكررة (نفس Google Place ID) - تم الإبقاء على الأصلية [biz_atlas_1789777500570_sm6x0],biz_atlas_1789777500570_sm6x0
biz_atlas_1789770812610_wwolu,Breadfast,مطعم,01000000000,29.9782968,31.1236778,"https://www.google.com/maps?q=29.9782968,31.1236778",نسخة مكررة (نفس Google Place ID) - تم الإبقاء على الأصلية [biz_atlas_1789777500570_sm6x0],biz_atlas_1789777500570_sm6x0
biz_atlas_1789777468112_83i98,MLS Theater,نشاط تجاري وخدمي,01000000000,29.9801601,31.119398,"https://www.google.com/maps?q=29.9801601,31.119398",نسخة مكررة (نفس Google Place ID) - تم الإبقاء على الأصلية [biz_atlas_1789777500455_vgz8l],biz_atlas_1789777500455_vgz8l
biz_atlas_1789777199015_roxrv,MLS Theater,نشاط تجاري وخدمي,01000000000,29.9801601,31.119398,"https://www.google.com/maps?q=29.9801601,31.119398",نسخة مكررة (نفس Google Place ID) - تم الإبقاء على الأصلية [biz_atlas_1789777500455_vgz8l],biz_atlas_1789777500455_vgz8l
biz_atlas_1789777114289_9fqwh,MLS Theater,نشاط تجاري وخدمي,01000000000,29.9801601,31.119398,"https://www.google.com/maps?q=29.9801601,31.119398",نسخة مكررة (نفس Google Place ID) - تم الإبقاء على الأصلية [biz_atlas_1789777500455_vgz8l],biz_atlas_1789777500455_vgz8l
biz_atlas_1789777073124_w7fxi,MLS Theater,نشاط تجاري وخدمي,01000000000,29.9801601,31.119398,"https://www.google.com/maps?q=29.9801601,31.119398",نسخة مكررة (نفس Google Place ID) - تم الإبقاء على الأصلية [biz_atlas_1789777500455_vgz8l],biz_atlas_1789777500455_vgz8l
biz_atlas_1789777025419_rbj5t,MLS Theater,نشاط تجاري وخدمي,01000000000,29.9801601,31.119398,"https://www.google.com/maps?q=29.9801601,31.119398",نسخة مكررة (نفس Google Place ID) - تم الإبقاء على الأصلية [biz_atlas_1789777500455_vgz8l],biz_atlas_1789777500455_vgz8l
biz_atlas_1789777466377_qovia,Athletic Field,نشاط تجاري وخدمي,01000000000,29.9791773,31.1178726,"https://www.google.com/maps?q=29.9791773,31.1178726",نسخة مكررة (نفس Google Place ID) - تم الإبقاء على الأصلية [biz_atlas_1789777500106_xuaar],biz_atlas_1789777500106_xuaar
biz_atlas_1789777230795_8gm6a,Athletic Field,نشاط تجاري وخدمي,01000000000,29.9791773,31.1178726,"https://www.google.com/maps?q=29.9791773,31.1178726",نسخة مكررة (نفس Google Place ID) - تم الإبقاء على الأصلية [biz_atlas_1789777500106_xuaar],biz_atlas_1789777500106_xuaar
biz_atlas_1789777199367_0855g,Athletic Field,نشاط تجاري وخدمي,01000000000,29.9791773,31.1178726,"https://www.google.com/maps?q=29.9791773,31.1178726",نسخة مكررة (نفس Google Place ID) - تم الإبقاء على الأصلية [biz_atlas_1789777500106_xuaar],biz_atlas_1789777500106_xuaar
biz_atlas_1789777154129_nc8c6,Athletic Field,نشاط تجاري وخدمي,01000000000,29.9791773,31.1178726,"https://www.google.com/maps?q=29.9791773,31.1178726",نسخة مكررة (نفس Google Place ID) - تم الإبقاء على الأصلية [biz_atlas_1789777500106_xuaar],biz_atlas_1789777500106_xuaar
biz_atlas_1789777466802_rklps,أدارة منافذ المركزية جهاز مستقبل مصر,نشاط تجاري وخدمي,01000000000,29.9793832,31.1162924,"https://www.google.com/maps?q=29.9793832,31.1162924",نسخة مكررة (نفس Google Place ID) - تم الإبقاء على الأصلية [biz_atlas_1789777499735_v1yxp],biz_atlas_1789777499735_v1yxp
biz_atlas_1789777230449_8vw78,أدارة منافذ المركزية جهاز مستقبل مصر,نشاط تجاري وخدمي,01000000000,29.9793832,31.1162924,"https://www.google.com/maps?q=29.9793832,31.1162924",نسخة مكررة (نفس Google Place ID) - تم الإبقاء على الأصلية [biz_atlas_1789777499735_v1yxp],biz_atlas_1789777499735_v1yxp
