id,name,category,phone,removal_reason,lat,lng,map_link
biz_atlas_1789797327688_kvadv,شقه بجوار الحضاره الاهرام والمتحف الكبير,نشاط تجاري وخدمي,01000000000,عمارة أو شقة أو مرفق سكني أضيف بالخطأ,29.9886398,31.1030598,"https://www.google.com/maps?q=29.9886398,31.1030598"
biz_atlas_1789797326620_m6zcm,Quite pyramids flat near new museum remaia & hadayk Al ahram,نشاط تجاري وخدمي,01000000000,عمارة أو شقة أو مرفق سكني أضيف بالخطأ,29.988823,31.1026306,"https://www.google.com/maps?q=29.988823,31.1026306"
biz_atlas_1789797325702_xc4ff,Quite pyramids flat near new museum remaia hadayk Al ahram,نشاط تجاري وخدمي,01000000000,عمارة أو شقة أو مرفق سكني أضيف بالخطأ,29.9863606,31.1031799,"https://www.google.com/maps?q=29.9863606,31.1031799"
biz_atlas_1789797322370_nmciv,مساكن شباب الرمايه عماره 83,نشاط تجاري وخدمي,01000000000,عمارة أو شقة أو مرفق سكني أضيف بالخطأ,29.9886908,31.1016871,"https://www.google.com/maps?q=29.9886908,31.1016871"
biz_atlas_1789797321563_z7orr,عماره ٤١٦ أ,نشاط تجاري وخدمي,01000000000,عمارة أو شقة أو مرفق سكني أضيف بالخطأ,29.9860509,31.1039646,"https://www.google.com/maps?q=29.9860509,31.1039646"
biz_atlas_1789797320737_p5lh2,عماره ٣١٦ ز,نشاط تجاري وخدمي,01000000000,عمارة أو شقة أو مرفق سكني أضيف بالخطأ,29.981597,31.09401,"https://www.google.com/maps?q=29.981597,31.09401"
biz_atlas_1789797318765_p12x3,ستديو فاخر بحدائق الاهرام,نشاط تجاري وخدمي,01000000000,عمارة أو شقة أو مرفق سكني أضيف بالخطأ,29.9798985,31.0971012,"https://www.google.com/maps?q=29.9798985,31.0971012"
biz_atlas_1789797317669_3mqtm,شقه ساحرة بجوار أهرامات الجيزة مثالية للعائلات والأزواج والعُزّاب منفردين,نشاط تجاري وخدمي,01000000000,عمارة أو شقة أو مرفق سكني أضيف بالخطأ,29.9799404,31.097105,"https://www.google.com/maps?q=29.9799404,31.097105"
biz_atlas_1789797316184_wiud5,عماره اليمن,نشاط تجاري وخدمي,01000000000,عمارة أو شقة أو مرفق سكني أضيف بالخطأ,29.9837809,31.0986649,"https://www.google.com/maps?q=29.9837809,31.0986649"
biz_atlas_1789797313986_y24x8,121 ح,نشاط تجاري وخدمي,01000000000,عمارة أو شقة أو مرفق سكني أضيف بالخطأ,29.9753152,31.0992204,"https://www.google.com/maps?q=29.9753152,31.0992204"
biz_atlas_1789792872900_e8i5h,341ح,نشاط تجاري وخدمي,01000000000,عمارة أو شقة أو مرفق سكني أضيف بالخطأ,29.971151,31.1013542,"https://www.google.com/maps?q=29.971151,31.1013542"
biz_atlas_1789792872193_saref,شقه الجديده ٣٢٨ ز,نشاط تجاري وخدمي,01000000000,عمارة أو شقة أو مرفق سكني أضيف بالخطأ,29.9711917,31.1013439,"https://www.google.com/maps?q=29.9711917,31.1013439"
biz_atlas_1789792869641_ehc19,١٥٥ه,نشاط تجاري وخدمي,01000000000,عمارة أو شقة أو مرفق سكني أضيف بالخطأ,29.971151,31.1013542,"https://www.google.com/maps?q=29.971151,31.1013542"
biz_atlas_1789792866306_edquj,٩٩ح,نشاط تجاري وخدمي,01000000000,عمارة أو شقة أو مرفق سكني أضيف بالخطأ,29.9733158,31.0994903,"https://www.google.com/maps?q=29.9733158,31.0994903"
biz_atlas_1789792356888_g5yb0,عماره ١٤١أ,نشاط تجاري وخدمي,01000000000,عمارة أو شقة أو مرفق سكني أضيف بالخطأ,29.9833796,31.1032267,"https://www.google.com/maps?q=29.9833796,31.1032267"
biz_atlas_1789792353633_t1dh0,شقه الحدايق,نشاط تجاري وخدمي,01000000000,عمارة أو شقة أو مرفق سكني أضيف بالخطأ,29.9771777,31.1021675,"https://www.google.com/maps?q=29.9771777,31.1021675"
biz_atlas_1789792352714_ium1x,عماره 91ب,نشاط تجاري وخدمي,01000000000,عمارة أو شقة أو مرفق سكني أضيف بالخطأ,29.9795775,31.104832,"https://www.google.com/maps?q=29.9795775,31.104832"
biz_atlas_1789792258548_a7rkm,257D,كافيهات ومقاهي ومشروبات,01000000000,عمارة أو شقة أو مرفق سكني أضيف بالخطأ,29.9719183,31.1044269,"https://www.google.com/maps?q=29.9719183,31.1044269"
biz_atlas_1789792125576_hvx34,89 ب,نشاط تجاري وخدمي,01000000000,عمارة أو شقة أو مرفق سكني أضيف بالخطأ,29.9795456,31.105406,"https://www.google.com/maps?q=29.9795456,31.105406"
biz_atlas_1789792123319_tyu7t,٦٨ ب,نشاط تجاري وخدمي,01000000000,عمارة أو شقة أو مرفق سكني أضيف بالخطأ,29.9801013,31.1075197,"https://www.google.com/maps?q=29.9801013,31.1075197"
biz_atlas_1789792121961_bz3u5,شقه احمد شوقي,نشاط تجاري وخدمي,01000000000,عمارة أو شقة أو مرفق سكني أضيف بالخطأ,29.9771625,31.1050116,"https://www.google.com/maps?q=29.9771625,31.1050116"
